"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Trout","Angels","150","675","528","157","29","3","44","124","112","126","136","12","14","5","",".297",".439",".612","1.051",".427","","173","3.1","-1.7","","66.3","0.6","8.8","10155"
"Alex Bregman","Astros","150","658","549","158","38","2","33","107","103","94","85","9","6","3","",".287",".396",".542",".938",".391","","150","0.1","-1.5","","42.2","0.6","6.4","17678"
"Francisco Lindor","Indians","150","692","616","178","39","2","35","112","95","60","99","6","22","7","",".289",".354",".532",".886",".365","","125","0.7","7.8","","22.7","15.3","6.1","12916"
"Cody Bellinger","Dodgers","150","640","544","156","30","3","42","100","116","86","117","4","12","5","",".287",".386",".584",".970",".392","","147","1.2","0.9","","40.9","0.0","6.0","15998"
"Mookie Betts","Dodgers","150","688","589","165","38","3","32","112","87","82","101","6","17","5","",".280",".371",".516",".887",".369","","132","4.5","12.6","","33.3","5.3","5.9","13611"
"Christian Yelich","Brewers","150","672","570","174","35","4","36","112","100","86","137","7","22","7","",".305",".400",".569",".969",".398","","145","3.3","0.5","","43.5","-6.6","5.7","11477"
"Anthony Rendon","Angels","150","655","565","161","37","2","28","93","99","75","96","9","4","2","",".284",".374",".507",".881",".367","","133","0.9","4.2","","28.4","6.7","5.7","12861"
"Matt Chapman","Athletics","150","656","571","147","35","3","34","95","98","68","153","9","3","1","",".258",".343",".511",".854",".356","","126","1.4","7.5","","23.4","10.0","5.5","16505"
"Carlos Correa","Astros","149","637","554","152","32","2","34","93","105","72","138","4","3","1","",".274",".359",".520",".879",".366","","133","0.9","-1.1","","27.7","5.8","5.4","14162"
"Josh Donaldson","Twins","147","644","538","144","30","1","36","101","103","93","151","6","4","2","",".268",".379",".528",".907",".378","","137","-0.4","0.9","","30.1","1.6","5.3","5038"
"Aaron Judge","Yankees","149","666","550","140","24","1","41","107","101","101","205","6","6","3","",".254",".373",".526",".898",".373","","135","0.5","8.1","","29.9","0.6","5.2","15640"
"George Springer","Astros","149","687","589","161","28","2","35","112","91","79","137","8","8","3","",".274",".365",".510",".875",".367","","133","0.7","-1.7","","30.2","-0.6","5.2","12856"
"Jose Ramirez","Indians","150","648","564","157","39","3","31","96","101","72","84","5","23","8","",".278",".362",".523",".885",".366","","126","3.9","2.7","","25.0","5.2","5.2","13510"
"Yasmani Grandal","White Sox","128","544","452","108","20","2","25","74","73","82","130","4","3","1","",".239",".358",".460",".818",".348","","119","-3.1","0.3","","10.3","7.7","5.0","11368"
"Juan Soto","Nationals","150","646","534","156","30","4","34","97","106","102","122","4","9","4","",".292",".407",".556",".963",".400","","145","0.1","-1.9","","38.8","-9.4","4.9","20123"
"Nolan Arenado","Rockies","150","657","580","172","35","3","40","100","114","67","106","5","3","2","",".296",".371",".572",".943",".385","","124","0.5","5.3","","21.2","7.8","4.9","9777"
"Kris Bryant","Cubs","150","669","565","154","35","2","31","100","91","81","150","15","4","2","",".274",".377",".508",".885",".371","","129","2.8","-2.2","","28.8","-0.8","4.8","15429"
"Xander Bogaerts","Red Sox","150","649","571","167","40","1","25","91","95","66","114","5","6","2","",".292",".368",".499",".867",".364","","123","1.5","-2.5","","21.1","5.0","4.8","12161"
"Rafael Devers","Red Sox","149","636","576","173","42","3","32","95","103","49","113","4","9","5","",".300",".356",".547",".903",".371","","129","1.4","-1.0","","24.6","1.5","4.7","17350"
"Manny Machado","Padres","150","664","591","161","29","3","37","93","102","63","119","4","7","3","",".272",".344",".519",".863",".356","","122","-0.6","4.7","","18.6","7.2","4.6","11493"
"Ronald Acuna Jr.","Braves","150","680","593","168","29","3","37","107","94","70","166","7","29","11","",".283",".363",".528",".891",".370","","127","2.9","0.1","","27.5","-3.5","4.5","18401"
"Bryce Harper","Phillies","150","664","544","141","29","1","41","102","102","107","165","5","11","4","",".259",".383",".541",".925",".380","","134","0.3","0.0","","30.5","-7.5","4.3","11579"
"Jose Altuve","Astros","150","673","601","178","34","4","25","100","93","57","99","7","12","4","",".296",".361",".487",".848",".357","","127","-0.5","-4.4","","22.3","-1.9","4.3","5417"
"J.T. Realmuto","Phillies","130","557","504","136","29","2","24","71","77","39","116","7","6","2","",".270",".329",".478",".807",".337","","106","1.6","4.9","","6.4","15.2","4.3","11739"
"Freddie Freeman","Braves","150","662","568","167","36","2","33","98","103","81","126","7","6","3","",".293",".385",".542",".927",".382","","135","0.5","3.4","","31.1","-9.1","4.2","5361"
"Marcus Semien","Athletics","150","678","594","160","34","4","25","98","79","70","111","3","12","5","",".269",".347",".465",".813",".343","","117","1.4","-4.9","","16.5","2.6","4.2","12533"
"Trea Turner","Nationals","150","687","614","178","36","5","22","103","75","57","128","5","39","10","",".291",".354",".472",".826",".348","","112","5.1","-2.5","","15.6","5.0","4.2","16252"
"Ketel Marte","Diamondbacks","150","647","578","171","34","8","23","87","83","56","89","5","8","3","",".296",".360",".502",".862",".360","","121","1.0","-0.4","","19.1","2.3","4.1","13613"
"Corey Seager","Dodgers","141","607","539","150","37","1","23","82","81","55","110","5","2","1","",".279",".349",".479",".828",".347","","117","1.6","-0.1","","15.5","7.0","4.1","13624"
"Ozzie Albies","Braves","150","652","590","169","37","6","24","89","83","48","100","5","14","5","",".287",".344",".491",".835",".348","","113","2.6","4.4","","13.6","6.9","4.0","16556"
"Yoan Moncada","White Sox","150","662","586","156","31","4","28","92","86","64","181","5","12","5","",".267",".341",".475",".817",".343","","116","1.9","0.3","","15.4","2.8","4.0","17232"
"Anthony Rizzo","Cubs","150","660","556","158","32","3","32","97","99","77","93","20","6","3","",".284",".388",".523",".911",".380","","135","-2.3","3.9","","28.5","-8.6","4.0","3473"
"Giancarlo Stanton","Yankees","134","591","513","137","23","1","47","97","111","65","174","7","3","1","",".268",".355",".590",".945",".385","","143","-0.4","0.7","","31.9","-11.8","4.0","4949"
"Trevor Story","Rockies","150","652","582","162","36","4","36","98","101","57","173","6","20","8","",".279",".347",".541",".888",".367","","112","1.8","0.1","","12.1","7.6","4.0","12564"
"Fernando Tatis Jr.","Padres","149","667","594","158","25","7","31","92","82","55","179","7","23","9","",".265",".333",".485",".818",".342","","113","1.7","-2.8","","12.8","4.6","3.8","19709"
"Justin Turner","Dodgers","139","613","533","150","32","1","26","87","85","58","96","15","3","1","",".281",".365",".488",".853",".359","","125","-0.7","-3.3","","19.9","-1.0","3.8","5235"
"Bo Bichette","Blue Jays","146","663","603","166","42","3","22","92","74","45","134","5","24","9","",".275",".329",".464",".793",".333","","108","0.9","-0.7","","7.4","6.5","3.6","19612"
"Vladimir Guerrero Jr.","Blue Jays","143","622","553","163","33","2","25","86","88","57","98","5","3","1","",".296",".364",".502",".866",".363","","128","-1.6","-3.5","","20.5","-5.2","3.6","19611"
